Path,Line Coverage,Function Coverage,Region Coverage
src/medovecot/src/lib-mail/fuzz_qp_encoder.c,100.00% (29/29),100.00% (1/1),88.89% (24/27)
src/medovecot/src/lib-mail/qp-encoder.c,96.26% (103/107),100.00% (5/5),93.88% (138/147)
src/medovecot/src/lib-test/fuzzer.c,29.09% (16/55),50.00% (2/4),29.55% (13/44)
src/medovecot/src/lib/array.c,0.00% (0/112),0.00% (0/12),0.00% (0/126)
src/medovecot/src/lib/array.h,40.54% (30/74),38.89% (7/18),28.12% (9/32)
src/medovecot/src/lib/backtrace-string.c,0.00% (0/32),0.00% (0/3),0.00% (0/26)
src/medovecot/src/lib/base64.c,0.00% (0/671),0.00% (0/13),0.00% (0/865)
src/medovecot/src/lib/base64.h,0.00% (0/97),0.00% (0/24),0.00% (0/34)
src/medovecot/src/lib/bits.c,83.33% (5/6),100.00% (1/1),80.00% (12/15)
src/medovecot/src/lib/bits.h,4.69% (3/64),8.33% (1/12),14.29% (2/14)
src/medovecot/src/lib/buffer.c,29.34% (76/259),36.67% (11/30),30.41% (97/319)
src/medovecot/src/lib/buffer.h,0.00% (0/8),0.00% (0/2),0.00% (0/2)
src/medovecot/src/lib/byteorder.h,0.00% (0/103),0.00% (0/16),0.00% (0/16)
src/medovecot/src/lib/compat.c,0.00% (0/8),0.00% (0/2),0.00% (0/2)
src/medovecot/src/lib/data-stack.c,58.49% (186/318),62.96% (17/27),54.79% (223/407)
src/medovecot/src/lib/env-util.c,0.00% (0/78),0.00% (0/10),0.00% (0/137)
src/medovecot/src/lib/event-filter-lexer.c,0.00% (0/706),0.00% (0/42),0.00% (0/553)
src/medovecot/src/lib/event-filter-parser.c,0.00% (0/593),0.00% (0/8),0.00% (0/433)
src/medovecot/src/lib/event-filter.c,0.60% (3/499),2.78% (1/36),0.17% (1/585)
src/medovecot/src/lib/event-log.c,6.67% (20/300),8.70% (2/23),7.91% (25/316)
src/medovecot/src/lib/failures.c,0.00% (0/622),0.00% (0/63),0.00% (0/449)
src/medovecot/src/lib/fd-util.c,6.60% (7/106),20.00% (1/5),4.63% (5/108)
src/medovecot/src/lib/hash-method.c,0.00% (0/43),0.00% (0/6),0.00% (0/51)
src/medovecot/src/lib/hash-method.h,0.00% (0/6),0.00% (0/2),0.00% (0/2)
src/medovecot/src/lib/hash.c,0.00% (0/369),0.00% (0/31),0.00% (0/439)
src/medovecot/src/lib/hex-binary.c,0.00% (0/56),0.00% (0/5),0.00% (0/55)
src/medovecot/src/lib/hmac.c,0.00% (0/92),0.00% (0/6),0.00% (0/147)
src/medovecot/src/lib/hmac.h,0.00% (0/11),0.00% (0/2),0.00% (0/2)
src/medovecot/src/lib/hostpid.c,46.34% (19/41),33.33% (1/3),51.85% (28/54)
src/medovecot/src/lib/imem.c,6.25% (3/48),10.00% (1/10),2.04% (1/49)
src/medovecot/src/lib/ioloop-epoll.c,0.00% (0/153),0.00% (0/6),0.00% (0/188)
src/medovecot/src/lib/ioloop-iolist.c,0.00% (0/37),0.00% (0/2),0.00% (0/49)
src/medovecot/src/lib/ioloop-notify-fd.c,0.00% (0/32),0.00% (0/3),0.00% (0/29)
src/medovecot/src/lib/ioloop-notify-inotify.c,0.00% (0/152),0.00% (0/8),0.00% (0/124)
src/medovecot/src/lib/ioloop.c,1.60% (14/877),2.38% (2/84),2.40% (26/1084)
src/medovecot/src/lib/iostream-pump.c,3.01% (5/166),7.14% (1/14),3.89% (11/283)
src/medovecot/src/lib/iostream.c,0.00% (0/95),0.00% (0/15),0.00% (0/115)
src/medovecot/src/lib/ipwd.c,0.00% (0/69),0.00% (0/7),0.00% (0/70)
src/medovecot/src/lib/istream-data.c,0.00% (0/43),0.00% (0/5),0.00% (0/39)
src/medovecot/src/lib/istream.c,0.00% (0/873),0.00% (0/77),0.00% (0/904)
src/medovecot/src/lib/istream.h,0.00% (0/9),0.00% (0/2),0.00% (0/22)
src/medovecot/src/lib/lib-event-private.h,0.00% (0/4),0.00% (0/1),0.00% (0/1)
src/medovecot/src/lib/lib-event.c,5.25% (49/933),7.78% (7/90),5.48% (54/985)
src/medovecot/src/lib/lib-signals.c,5.01% (22/439),10.00% (3/30),5.26% (29/551)
src/medovecot/src/lib/lib.c,37.61% (44/117),42.86% (6/14),36.36% (40/110)
src/medovecot/src/lib/lib.h,0.00% (0/10),0.00% (0/3),0.00% (0/13)
src/medovecot/src/lib/malloc-overflow.h,45.00% (9/20),100.00% (2/2),72.22% (13/18)
src/medovecot/src/lib/md4.c,0.00% (0/162),0.00% (0/8),0.00% (0/122)
src/medovecot/src/lib/md5.c,0.00% (0/179),0.00% (0/8),0.00% (0/154)
src/medovecot/src/lib/memarea.c,0.00% (0/49),0.00% (0/9),0.00% (0/108)
src/medovecot/src/lib/mempool-alloconly.c,27.84% (49/176),20.00% (3/15),35.08% (87/248)
src/medovecot/src/lib/mempool-datastack.c,50.82% (31/61),44.44% (4/9),32.91% (26/79)
src/medovecot/src/lib/mempool-system.c,22.50% (9/40),25.00% (2/8),14.71% (5/34)
src/medovecot/src/lib/mempool-unsafe-datastack.c,0.00% (0/29),0.00% (0/8),0.00% (0/13)
src/medovecot/src/lib/mempool.c,100.00% (10/10),100.00% (1/1),84.00% (21/25)
src/medovecot/src/lib/mempool.h,44.44% (16/36),50.00% (4/8),62.50% (20/32)
src/medovecot/src/lib/net.c,0.00% (0/735),0.00% (0/51),0.00% (0/742)
src/medovecot/src/lib/ostream-file.c,0.00% (0/813),0.00% (0/37),0.00% (0/959)
